CRT;STATUS;CLIENTE;TIPO DE TRANSPORTE;UF ORIGEM;CIDADE ORIGEM;PESO;UF DESTINO;CIDADE DESTINO; VALOR 
AR700;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR701;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR702;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR703;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR705;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR706;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR707;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR708;Entregue;ALFAPET PRODUTOS PARA ANIMAIS LTDA;NﾇO;AR;PILAR, BUENOS AIRES;27;SP;JUMIRIM; R$ 13.500,00 
AR709;Entregue;COMPANHIA BIOCHEMICALS DO BRASIL;NﾇO;AR;SALTA;26;SP;COTIA; R$ 13.500,00 
AR715;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR716;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR717;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR718;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR720;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR721;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR722;Entregue;SERQUIMICA IND. COM. IMPO. E EXPO. DE PR;NﾇO;AR;SALTA;26;SP;SERTﾇOZINHO; R$ 15.000,00 
AR725;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR727;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR728;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR729;Entregue;COMPANHIA BIOCHEMICALS DO BRASIL;NﾇO;AR;SALTA;26;SP;COTIA; R$ 13.500,00 
AR730;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR731;Entregue;UNION AGRO S/A;NﾇO;AR;SALTA;162;SP;PEDERNEIRAS; R$ 15.000,00 
AR732;Entregue;FASS IND. E COM. DE PRODUTOS AGROPECUARI;NﾇO;AR;SALTA;115;SP;SERTﾇOZINHO; R$ 15.000,00 
AR733;Entregue;SERQUIMICA IND. COM. IMPO. E EXPO. DE PR;NﾇO;AR;SALTA;26;SP;SERTﾇOZINHO; R$ 15.000,00 
AR734;Entregue;ALFAPET PRODUTOS PARA ANIMAIS LTDA;NﾇO;AR;PILAR, BUENOS AIRES;27;SP;JUMIRIM; R$ 13.500,00 
AR735;Entregue;UNION AGRO S/A;NﾇO;AR;SALTA;81;SP;PEDERNEIRAS; R$ 15.000,00 
AR736;Entregue;UNION AGRO S/A;NﾇO;AR;SALTA;81;SP;PEDERNEIRAS; R$ 15.000,00 
AR737;Entregue;UNION AGRO S/A;NﾇO;AR;SALTA;81;SP;PEDERNEIRAS; R$ 15.000,00 
AR738;Entregue;FASS IND. E COM. DE PRODUTOS AGROPECUARI;NﾇO;AR;SALTA;115;SP;SERTﾇOZINHO; R$ 15.000,00 
AR740;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR741;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR742;Entregue;TEKNOFERT FERTILIZANTES BRASIL LTDA;NﾇO;AR;SALTA;55;SP;LIMEIRA; R$ 13.500,00 
AR743;Entregue;FASS IND. E COM. DE PRODUTOS AGROPECUARI;NﾇO;AR;SALTA;115;SP;SERTﾇOZINHO; R$ 15.000,00 
AR744;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR745;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR746;Entregue;SULBORO INDUSTRIA E COMERCIO DE PRODUTOS;NﾇO;AR;SALTA;52;RS;CANOAS; R$ 16.000,00 
AR747;Entregue;SERQUIMICA IND. COM. IMPO. E EXPO. DE PR;NﾇO;AR;SALTA;26;SP;SERTﾇOZINHO; R$ 15.000,00 
